i,loss,A,B,R
0,76.156262,0.048374,-0.122153,1.329370
1,43.602400,-0.275861,-0.374519,1.810938
2,29.912969,-0.484789,-0.553558,2.105839
3,23.258102,-0.643527,-0.688889,2.289967
4,19.611645,-0.772618,-0.796777,2.403348
5,17.273085,-0.883665,-0.889513,2.470396
6,15.503205,-0.983891,-0.974470,2.506664
7,13.978162,-1.077670,-1.055645,2.522390
8,12.564081,-1.167447,-1.134853,2.524530
9,11.219531,-1.254286,-1.212513,2.517950
10,9.947665,-1.338283,-1.288236,2.506130
11,8.768606,-1.418974,-1.361275,2.491579
12,7.702943,-1.495691,-1.430853,2.476089
13,6.763571,-1.567825,-1.496337,2.460901
14,5.953672,-1.634954,-1.557316,2.446824
15,5.268190,-1.696872,-1.613590,2.434331
16,4.696566,-1.753569,-1.665143,2.423648
17,4.225390,-1.805182,-1.712092,2.414823
18,3.840445,-1.851951,-1.754649,2.407785
19,3.528025,-1.894179,-1.793085,2.402386
20,3.275683,-1.932199,-1.827703,2.398442
21,3.072552,-1.966359,-1.858817,2.395749
22,2.909401,-1.996999,-1.886740,2.394106
23,2.778542,-2.024451,-1.911774,2.393325
24,2.673660,-2.049023,-1.934203,2.393233
25,2.589618,-2.071005,-1.954291,2.393679
26,2.522270,-2.090662,-1.972280,2.394533
27,2.468280,-2.108234,-1.988391,2.395685
28,2.424979,-2.123942,-2.002822,2.397046
29,2.390229,-2.137983,-2.015752,2.398540
30,2.362326,-2.150534,-2.027341,2.400110
31,2.339904,-2.161755,-2.037733,2.401709
32,2.321876,-2.171787,-2.047054,2.403302
33,2.307372,-2.180759,-2.055419,2.404863
34,2.295697,-2.188784,-2.062929,2.406371
35,2.286292,-2.195964,-2.069674,2.407813
36,2.278714,-2.202389,-2.075734,2.409181
37,2.272603,-2.208139,-2.081180,2.410468
38,2.267675,-2.213286,-2.086077,2.411674
39,2.263698,-2.217895,-2.090481,2.412796
40,2.260488,-2.222023,-2.094442,2.413837
41,2.257896,-2.225721,-2.098007,2.414799
42,2.255802,-2.229033,-2.101216,2.415685
43,2.254111,-2.232002,-2.104104,2.416498
44,2.252744,-2.234662,-2.106704,2.417244
45,2.251639,-2.237046,-2.109046,2.417927
46,2.250745,-2.239184,-2.111156,2.418550
47,2.250023,-2.241101,-2.113056,2.419118
48,2.249439,-2.242820,-2.114767,2.419635
49,2.248966,-2.244362,-2.116310,2.420105
50,2.248584,-2.245745,-2.117699,2.420532
51,2.248274,-2.246985,-2.118951,2.420920
52,2.248024,-2.248099,-2.120080,2.421272
53,2.247821,-2.249097,-2.121097,2.421590
54,2.247658,-2.249994,-2.122013,2.421879
55,2.247525,-2.250798,-2.122839,2.422140
56,2.247417,-2.251520,-2.123583,2.422376
57,2.247330,-2.252168,-2.124254,2.422590
58,2.247260,-2.252750,-2.124859,2.422783
59,2.247203,-2.253272,-2.125404,2.422957
60,2.247157,-2.253741,-2.125895,2.423115
61,2.247119,-2.254162,-2.126338,2.423257
62,2.247089,-2.254540,-2.126737,2.423385
63,2.247065,-2.254880,-2.127097,2.423501
64,2.247045,-2.255185,-2.127421,2.423606
65,2.247029,-2.255459,-2.127713,2.423700
66,2.247016,-2.255705,-2.127977,2.423785
67,2.247005,-2.255926,-2.128214,2.423862
68,2.246996,-2.256124,-2.128428,2.423931
69,2.246990,-2.256303,-2.128621,2.423994
70,2.246984,-2.256463,-2.128794,2.424050
71,2.246979,-2.256607,-2.128951,2.424101
72,2.246976,-2.256736,-2.129092,2.424146
73,2.246973,-2.256852,-2.129219,2.424188
74,2.246970,-2.256957,-2.129334,2.424225
75,2.246968,-2.257051,-2.129437,2.424258
76,2.246967,-2.257135,-2.129530,2.424288
77,2.246965,-2.257211,-2.129614,2.424315
78,2.246964,-2.257279,-2.129689,2.424340
79,2.246964,-2.257340,-2.129758,2.424362
80,2.246963,-2.257395,-2.129819,2.424382
81,2.246962,-2.257445,-2.129874,2.424400
82,2.246962,-2.257489,-2.129924,2.424416
83,2.246962,-2.257529,-2.129969,2.424430
84,2.246961,-2.257565,-2.130009,2.424443
85,2.246961,-2.257597,-2.130046,2.424455
86,2.246961,-2.257626,-2.130078,2.424466
87,2.246961,-2.257652,-2.130108,2.424475
88,2.246961,-2.257676,-2.130135,2.424484
89,2.246960,-2.257697,-2.130159,2.424492
90,2.246960,-2.257716,-2.130180,2.424499
91,2.246960,-2.257733,-2.130200,2.424505
92,2.246960,-2.257748,-2.130217,2.424511
93,2.246960,-2.257762,-2.130233,2.424516
94,2.246960,-2.257774,-2.130247,2.424520
95,2.246960,-2.257786,-2.130260,2.424525
96,2.246960,-2.257796,-2.130272,2.424528
97,2.246960,-2.257805,-2.130282,2.424532
98,2.246960,-2.257813,-2.130291,2.424535
99,2.246960,-2.257820,-2.130300,2.424537
100,2.246960,-2.257827,-2.130307,2.424540
101,2.246960,-2.257832,-2.130314,2.424542
102,2.246960,-2.257838,-2.130320,2.424544
103,2.246960,-2.257843,-2.130326,2.424546
104,2.246960,-2.257847,-2.130331,2.424547
105,2.246960,-2.257851,-2.130335,2.424549
106,2.246960,-2.257854,-2.130339,2.424550
107,2.246960,-2.257857,-2.130343,2.424551
108,2.246960,-2.257860,-2.130346,2.424552
109,2.246960,-2.257863,-2.130349,2.424553
110,2.246960,-2.257865,-2.130352,2.424554
111,2.246960,-2.257867,-2.130354,2.424555
112,2.246960,-2.257869,-2.130357,2.424556
